SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NR_PARTIDO,NM_PARTIDO
210002361819,22000,OSMERI TONIAZZO ZANIN,22,PARTIDO LIBERAL
210002362381,15123,LUIZ ERNESTO BEARZI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002366303,15555,SIDNEI JACQUES BIRGEIER,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002377567,11135,IVO CALDART,11,PROGRESSISTAS
210002389938,23200,CLAUDINEI GOLDSCHMIDT DA SILVA,23,CIDADANIA
210002287149,40261,VERUSKA MIEL BUSTAMANTE BARRANTES,40,PARTIDO SOCIALISTA BRASILEIRO
210002303357,11333,ELISIANE GOMES DE SOUZA,11,PROGRESSISTAS
210002286683,13555,ALINE BRUM DA SILVA,13,PARTIDO DOS TRABALHADORES
210002366799,50500,MARCOS FERNANDO DE SOUZA MATTGE,50,PARTIDO SOCIALISMO E LIBERDADE
210002373018,11123,IVANI REGINA HIRSCHHEITER BRANDLER,11,PROGRESSISTAS
210002373919,22220,ADRIANO VANCINI DA SILVA,22,PARTIDO LIBERAL
210001909375,10222,VALMIR NUNES DOS SANTOS,10,REPUBLICANOS
210001915778,50000,CARLOS ROBERTO DE SOUZA ROBAINA,50,PARTIDO SOCIALISMO E LIBERDADE
210001970702,13513,ANA PAULA DOS SANTOS COELHO,13,PARTIDO DOS TRABALHADORES
210001979281,11123,CIDIO ARLEI MARTH,11,PROGRESSISTAS
210002023674,22192,ISRAEL RAUL SAIKOSKI ANUSCA,22,PARTIDO LIBERAL
210002023676,22191,FABIO LUIS PEREIRA JOVINO,22,PARTIDO LIBERAL
210002024749,30007,JAIR DE ALMEIDA,30,PARTIDO NOVO
210002027298,45000,GIOVANI PEREIRA DE SOUZA,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002028096,22123,PAULO CESAR AGLIARDI,22,PARTIDO LIBERAL
210001909395,11622,EVERTON GOMES DA ROSA,11,PROGRESSISTAS
210001912981,22123,ADRIANA MARIA PEREIRA ROST,22,PARTIDO LIBERAL
210001913337,30053,LEIDE QUELE SANTOS RIBEIRO,30,PARTIDO NOVO
210001913611,13666,ELISANGELA FERNANDES DE SOUZA,13,PARTIDO DOS TRABALHADORES
210001918126,20071,JONES DOS SANTOS CAMBOIM,20,PODEMOS
210001976355,15,JONAS TOMAZINI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001976442,11234,LOCIR ANTONIO ALVES,11,PROGRESSISTAS
210001976888,55222,ANDRÉ LUIZ OLIVEIRA DE VARGAS,55,PARTIDO SOCIAL DEMOCRÁTICO
210001978365,55555,GILVANDO RAIMUNDO DA SILVA FILHO,55,PARTIDO SOCIAL DEMOCRÁTICO
210002023619,22448,CARLOS CLAIR RIBEIRO,22,PARTIDO LIBERAL
210002024478,11,ROBERTO JOSÉ DALLE MOLLE,11,PROGRESSISTAS
210002031394,15333,ANAIR ORTIZ,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002334144,11344,JAIR DIAS DOS SANTOS,11,PROGRESSISTAS
210002335713,12123,VANDEMIR PILATTI,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002337172,15500,ALEX JASINSKI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002341510,15333,MARCOS FREES NASCIMENTO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002337162,15177,ALEXSANDRA DA LUZ OLIVEIRA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002338471,12100,ALESSANDRO ÁVILA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002345303,40244,PAULO CEZAR TORRES DOS SANTOS,40,PARTIDO SOCIALISTA BRASILEIRO
210001909011,10105,JOAO ADELAR IGNACIO,10,REPUBLICANOS
210001915771,50777,TIAGO MARCELO DA SILVA MARTINS,50,PARTIDO SOCIALISMO E LIBERDADE
210001916623,15300,MARIA ODETE BENTO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001916689,45122,EVALDO DA ROSA MORAES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001917295,22017,LUCIANA CRISTINA DO COUTO,22,PARTIDO LIBERAL
210001918894,44044,MARCELO VILLELA DA FONSECA,44,UNIÃO BRASIL
210001970532,12,CORNÉLIO LUIS GRIMM,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001971185,15444,ANGELA BEATRIZ FRIEDRICH,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001974459,12,ARDÊMIO SILVEIRA D ÁVILA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001974570,15777,MÁRCIA WYRVALSKI DOS SANTOS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001914536,30400,SANDRO GIOVANI ALVES,30,PARTIDO NOVO
210001914835,30,MARCIA GONCALVES DOS SANTOS,30,PARTIDO NOVO
210001916847,11301,MARILANDA COUGO DE OLIVEIRA,11,PROGRESSISTAS
210001916872,45001,JACQUELINE QUEIROGA FERREIRA,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001917714,77400,JOAO BATISTA MALESSA,77,SOLIDARIEDADE
210001918899,44200,RAFAEL PEREIRA DUTRA,44,UNIÃO BRASIL
210001976840,15630,JAIR ANTUNES DE ALMEIDA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001978355,11222,ELIETE DE LUCENA LEÃO,11,PROGRESSISTAS
210002023123,20040,WILLIAM RODRIGUES PEREIRA,20,PODEMOS
210001972791,22345,ROSANGELA MARIA NIEDERMEIER,22,PARTIDO LIBERAL
210002024178,15444,KENNY GARCIA RIBEIRO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001976876,55248,FRANCIELE PORTELLA AMARANTE GUGEL,55,PARTIDO SOCIAL DEMOCRÁTICO
210001976900,11122,ELOIR APARECIDA DINIZ OTTONELLI,11,PROGRESSISTAS
210001980238,11234,CLAUDIMIR PEDRO HENKES,11,PROGRESSISTAS
210002024562,13123,EVA MARIA FERREIRA,13,PARTIDO DOS TRABALHADORES
210002024712,11789,JOAO HENRIQUE WESCHENFELDER,11,PROGRESSISTAS
210002271982,11,JULIANE PENSIN,11,PROGRESSISTAS
210002339609,13000,LUIZ AMANDO FRANSKOVIAK,13,PARTIDO DOS TRABALHADORES
210002342505,11456,LUIZ CARLOS KLANOVICZ,11,PROGRESSISTAS
210002343140,12012,ANA GRASSI,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002344050,15333,RICARDO ALVES SANTOS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002344172,44017,ANTÃO ROBERTO IENSEN,44,UNIÃO BRASIL
210002210775,13888,ELISANE RODRIGUES DOS SANTOS,13,PARTIDO DOS TRABALHADORES
210002212016,22555,JESTER DANIEL MORAES,22,PARTIDO LIBERAL
210002212724,12177,MARIA ANGELICA KOLTZ EHRHARDT,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002280429,13,MARCOS VINICIUS NEGRINI FABRICIO,13,PARTIDO DOS TRABALHADORES
210002220423,20200,GILMAR DE BARROS,20,PODEMOS
210002221337,15777,PAULO JEREMIAS DOS SANTOS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002276061,11345,ELISSANDRA BAUHMART,11,PROGRESSISTAS
210002210909,45555,LEONARDO GUADAGNIN,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002214061,40040,LUIZA MARILAC PICCININI,40,PARTIDO SOCIALISTA BRASILEIRO
210002217519,45600,PAULO FERNANDO PERICO,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002220419,20123,DIEGO RODRIGUES DE PAULA,20,PODEMOS
210002222576,40500,FABIO ROQUE NERVIS,40,PARTIDO SOCIALISTA BRASILEIRO
210002276882,10300,JONI FRANCISCO RODRIGUES BANDEIRA,10,REPUBLICANOS
210001886553,40333,JOICE DA SILVA PEREIRA,40,PARTIDO SOCIALISTA BRASILEIRO
210001901052,44044,SILVIA REGINA SONEMANN,44,UNIÃO BRASIL
210001902031,45149,JOSIANE ALDAVES MATIAS,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
